OlinkID	Symbol	CSF_belowLOD	Plasma_belowLOD
OID21150	CTRB1	False	False
OID21151	F11R	False	False
OID21070	APP	False	False
OID21071	ITGAM	False	False
OID21072	APOH	True	False
OID21073	MIF	False	False
OID21074	NPTX1	False	False
OID21075	GGT1	False	False
OID21076	BCAM	False	False
OID21077	STIP1	True	False
OID21078	AHSP	True	False
OID21079	DSC2	False	False
OID21080	CD164	False	False
OID21081	NRP2	False	False
OID21082	SIGLEC5	False	False
OID21083	MMP3	False	False
OID21084	WARS	False	False
OID21085	NID2	False	False
OID21086	HARS1	False	False
OID21087	PEBP1	False	False
OID21088	SERPINB1	False	False
OID21089	IL17RA	False	False
OID21090	CLEC14A	False	False
OID21152	LILRA2	False	False
OID21153	PAMR1	False	False
OID21154	TFF1	False	False
OID21155	TNFRSF1A	False	False
OID21156	CLPS	False	False
OID21157	STC2	False	False
OID21158	IGFBP4	False	False
OID21159	GRN	False	False
OID21160	PARK7	False	False
OID21237	TNF	True	False
OID21238	CDC27	True	False
OID21239	FLI1	True	False
OID21240	STXBP3	True	True
OID21241	CEP85	True	False
OID21242	GSTA3	True	False
OID21243	AGR3	True	False
OID21244	AKR1B1	False	False
OID21209	CEP20	True	False
OID21210	LSM1	True	False
OID21211	RUVBL1	True	False
OID21212	NFKBIE	True	False
OID21213	IKZF2	True	True
OID21214	SLAMF8	False	False
OID21215	FCGR2B	True	False
OID21216	GFOD2	True	False
OID21217	BIRC2	True	True
OID21218	SFTPA2	True	False
OID21219	STX6	True	False
OID21220	TBL1X	True	False
OID21221	PSMA1	True	True
OID21222	SH2B3	True	False
OID21224	NDUFS6	True	False
OID21225	PRKRA	True	False
OID21226	DDX58	True	False
OID21227	NAMPT	True	False
OID21245	CEACAM3	True	True
OID21246	ATG4A	True	False
OID21247	GFAP	False	False
OID21248	LHB	False	False
OID21249	CRACR2A	False	False
OID21250	BAIAP2	False	False
OID21251	LYPD8	True	False
OID21252	EGFL7	False	False
OID21253	MAP3K5	True	False
OID21254	SLAMF6	True	False
OID21255	ARHGAP25	True	False
OID21256	FUS	True	False
OID21257	CRH	False	False
OID21258	PLXDC1	False	False
OID21259	GFER	False	False
OID21260	ENTPD2	False	False
OID21261	CFC1	False	False
OID21262	SORCS2	False	False
OID21263	GCG	True	False
OID21264	LYAR	False	True
OID21265	CD28	False	False
OID21266	HPGDS	True	False
OID21267	BAMBI	False	True
OID21268	ITGB1BP1	False	False
OID21269	ACAA1	True	False
OID21270	TPMT	True	False
OID21271	FOXO3	True	False
OID21272	FLT3	False	False
OID21191	LTBP3	False	False
OID21192	FEN1	True	False
OID21193	FCRLB	True	False
OID21194	RASSF2	True	False
OID21195	CA11	False	False
OID21196	KIR2DL3	True	False
OID21197	AKT3	True	True
OID21198	BGN	False	False
OID21199	BTC	False	False
OID21200	CCT5	True	False
OID21228	CLEC6A	False	False
OID21229	SUGT1	True	False
OID21230	CHAC2	True	False
OID21231	GNE	True	False
OID21232	TP53	True	True
OID21233	FMR1	True	True
OID21234	AIF1	True	False
OID21235	NPTN	False	False
OID21236	MED18	True	False
OID21176	PDP1	True	True
OID21201	KLK12	True	False
OID21202	ARHGAP1	True	False
OID21203	RANGAP1	True	True
OID21204	MAVS	True	False
OID21205	ZBTB16	True	False
OID21206	MAEA	True	False
OID21207	FES	True	True
OID21208	NTF4	True	False
OID21177	RARRES1	True	False
OID21178	ATP6AP2	True	False
OID21179	RNF41	True	False
OID21180	SMAD1	True	False
OID21181	MAGED1	True	True
OID21182	CAMKK1	True	True
OID21183	PDGFC	True	False
OID21184	PPM1A	True	True
OID21185	KIR3DL1	True	False
OID21186	MZT1	True	False
OID21187	RRM2	True	False
OID21188	ADCYAP1R1	True	False
OID21189	UXS1	False	False
OID21161	SCP2	True	False
OID21162	ANKRD54	True	False
OID21163	RABEPK	True	False
OID21164	VTCN1	False	False
OID21165	SFTPA1	True	False
OID21166	RAD23B	True	False
OID21167	NINJ1	True	False
OID21168	GH2	True	False
OID21169	PSRC1	True	False
OID21170	STX16	True	False
OID21171	CEACAM5	True	False
OID21172	PQBP1	True	False
OID21173	GSAP	True	False
OID21174	RRM2B	False	False
OID21175	HGS	True	False
OID21329	SEMA4C	False	False
OID21330	GFRA2	False	False
OID21331	ARSB	False	False
OID21332	SCAMP3	False	False
OID21333	LRRC25	True	False
OID21334	DCTN2	True	False
OID21335	DRG2	False	False
OID21336	UBAC1	True	False
OID21337	ELOA	False	False
OID21338	ERP44	False	False
OID21353	SMAD5	False	False
OID21354	DPP6	False	False
OID21355	VPS37A	True	False
OID21356	PFKFB2	False	False
OID21273	PDCD1LG2	False	False
OID21274	IGF1R	False	False
OID21275	ADAMTS15	False	False
OID21276	IL6	False	False
OID21277	STAT5B	True	False
OID21278	SF3B4	True	False
OID21279	SEPTIN9	True	False
OID21280	ABL1	False	False
OID21281	VPS53	True	False
OID21282	CDHR2	True	False
OID21283	POLR2F	False	False
OID21284	SERPINA9	False	False
OID21285	TACC3	True	False
OID21286	TBC1D23	True	False
OID21287	AIFM1	True	False
OID21288	MPI	True	False
OID21289	SEZ6L2	False	False
OID21290	LPCAT2	True	False
OID21291	KLK13	False	False
OID21292	LAT2	True	False
OID21293	LRP1	False	False
OID21294	ADGRG1	False	False
OID21295	CDKN2D	True	False
OID21296	KRT18	False	False
OID21297	COX5B	True	False
OID21298	CD207	True	False
OID21299	DDAH1	False	False
OID21301	FLT1	False	False
OID21302	RP2	True	False
OID21303	HS3ST3B1	True	False
OID21304	PSMD9	True	False
OID21305	DPEP2	False	False
OID21306	CALB1	False	False
OID21307	MME	False	False
OID21308	NUDT2	True	True
OID21309	GRPEL1	False	False
OID21310	VNN2	False	False
OID21311	AARSD1	True	False
OID21312	IGSF3	False	False
OID21313	DKKL1	False	False
OID21314	INPPL1	True	False
OID21315	LAG3	True	False
OID21316	CD38	False	False
OID21317	CNPY4	False	False
OID21318	CDNF	False	False
OID21319	CDKN1A	True	False
OID21320	KIFBP	True	False
OID21321	TAFA5	False	False
OID21322	ST3GAL1	False	False
OID21323	ERBIN	True	False
OID21324	SRP14	False	False
OID21325	DSG4	True	False
OID21326	STX4	False	False
OID21327	IL12A_IL12B	False	False
OID21328	CD302	False	False
OID21339	KAZALD1	False	False
OID21340	CES3	True	False
OID21341	ATP6V1D	True	True
OID21342	EPHA2	False	False
OID21343	RTBDN	False	False
OID21344	CA12	False	False
OID21345	INPP1	False	False
OID21346	RET	False	False
OID21347	PPME1	True	False
OID21348	YES1	False	False
OID21349	DTX3	False	False
OID21350	LYN	False	False
OID21351	ICOSLG	False	False
OID21352	OMG	False	False
OID21357	AREG	False	False
OID21358	PODXL	True	False
OID21359	APBB1IP	True	False
OID21360	OGFR	False	False
OID21361	IQGAP2	False	False
OID21362	OPTC	False	False
OID21363	DNAJB1	True	False
OID21364	TMPRSS15	True	False
OID21365	RBP2	True	False
OID21366	CES2	True	False
OID21367	USO1	True	False
OID21368	CCN1	False	False
OID21369	RBP5	True	False
OID21370	AMIGO2	False	False
OID21371	GALNT10	False	False
OID21372	FAM3B	False	False
OID21373	DEFB4A_DEFB4B	True	False
OID21374	S100A12	True	False
OID21375	SIRT2	False	False
OID21376	GPA33	True	False
OID21377	GALNT7	False	False
OID21378	MUC16	True	True
OID21379	GCNT1	False	False
OID21380	MSLN	False	False
OID21381	VMO1	True	False
OID21382	VAT1	True	False
OID21383	ALPP	True	False
OID21432	ACP6	False	False
OID21433	HBQ1	True	False
OID21384	MOG	False	False
OID21385	HMBS	True	False
OID21386	CBLN4	False	False
OID21387	CALCOCO1	True	False
OID21388	NPY	False	False
OID21389	EBI3_IL27	False	False
OID21390	SIGLEC9	False	False
OID21391	KLK4	False	False
OID21392	CPE	False	False
OID21393	ITGB7	False	False
OID21394	SIGLEC6	False	False
OID21395	HAO1	True	False
OID21396	PDCD1	False	False
OID21397	EPS8L2	False	False
OID21398	XCL1	False	False
OID21399	DCTN1	True	False
OID21400	SCG2	False	False
OID21401	CA14	False	False
OID21402	FGF21	True	False
OID21403	TRIAP1	False	False
OID21404	PRDX6	True	False
OID21405	CTSV	False	False
OID21406	LGALS7_LGALS7B	False	False
OID21407	KLK14	True	False
OID21408	HSPB6	False	False
OID21409	SLITRK2	False	False
OID21410	DPY30	True	False
OID21411	FGF23	False	False
OID21412	ANGPTL7	False	False
OID21413	AMBP	True	False
OID21414	CASP8	False	False
OID21415	RSPO3	False	False
OID21416	ITGAV	True	False
OID21417	CA9	False	False
OID21418	CD300E	False	False
OID21419	CLMP	False	False
OID21420	PVALB	False	False
OID21421	VWA1	False	False
OID21422	HAVCR1	False	False
OID21423	GALNT2	False	False
OID21424	RTN4R	False	False
OID21425	SCLY	False	False
OID21426	CNTN2	False	False
OID21427	CRNN	True	False
OID21428	DAB2	False	False
OID21429	LRIG1	False	False
OID21430	CXCL8	False	False
OID21431	CAPG	False	False
OID21434	APEX1	False	False
OID21435	CPVL	False	False
OID21436	RILP	True	False
OID21437	METAP2	False	False
OID21438	GPC1	False	False
OID21439	MMP12	False	False
OID21440	F3	False	False
OID21441	HS6ST1	False	False
OID21442	FXN	False	False
OID21443	PRTG	False	False
OID21444	CCN4	False	False
OID21445	ARG1	True	False
OID21446	TNFRSF19	False	False
OID21447	TACSTD2	False	False
OID21448	NUCB2	False	False
OID21449	CD5	False	False
OID21450	SPINK6	False	False
OID21451	EDA2R	False	False
OID21452	LTA4H	True	False
OID21453	SORD	False	False
OID21454	LEFTY2	False	False
OID21455	HDGF	False	False
OID21456	CRISP2	False	False
OID21457	GFRA1	False	False
OID21458	NCS1	False	False
OID21459	HAGH	True	False
OID21460	DSG3	False	False
OID21461	SMOC1	False	False
OID21462	WFDC12	False	False
OID21463	ANGPT2	False	False
OID21464	WIF1	False	False
OID21465	HBEGF	False	False
OID21466	CCL8	False	False
OID21467	ADM	False	False
OID21468	IDUA	False	False
OID21469	CD300LF	False	False
OID21470	CDC37	False	False
OID21471	HTRA2	False	False
OID21472	CD33	False	False
OID21473	PLA2G15	False	False
OID21474	DCBLD2	False	False
OID21475	PPP1R12A	False	False
OID21476	ATOX1	False	False
OID21477	TJAP1	False	False
OID21478	FGFR2	False	False
OID21479	CPXM1	False	False
OID21480	DCXR	True	False
OID21481	C4BPB	False	False
OID21482	TNFRSF12A	False	False
OID21483	CD1C	False	False
OID21484	L1CAM	False	False
OID21485	FOLR3	False	False
OID21486	NBL1	False	False
OID21487	PODXL2	False	False
OID21488	SEZ6L	False	False
OID21489	MDK	False	False
OID21490	NECTIN4	False	False
OID21491	FLT4	False	False
OID21492	MANSC1	False	False
OID21493	TGFBR2	False	False
OID21494	NELL1	False	False
OID21495	TXNDC15	False	False
OID21496	TEK	False	False
OID21497	KDR	False	False
OID21498	NT5E	False	False
OID21499	KLK1	False	False
OID21500	CTSF	False	False
OID21501	CIAPIN1	False	False
OID21502	ADAMTS8	False	False
OID21503	SIAE	False	False
OID21504	IL13RA1	False	False
OID21505	WFDC2	False	False
OID21506	SNAP29	False	False
OID21507	FGFBP1	True	False
OID21508	XPNPEP2	False	False
OID21509	P4HB	False	False
OID21510	ERBB4	False	False
OID21511	SPARC	False	False
OID21512	TFPI2	False	False
OID21513	MSRA	False	False
OID21514	FURIN	False	False
OID21515	CREG1	False	False
OID21516	PPY	True	False
OID21517	KLK8	False	False
OID21518	KLK11	False	False
OID21519	S100A4	False	False
OID21520	ERBB2	False	False
OID21521	SRC	False	False
OID21522	ITGB5	False	False
OID21523	KLK10	False	False
OID21524	VEGFC	False	False
OID21525	DLL1	False	False
OID21526	KLK6	False	False
OID21527	CD27	False	False
OID21528	CEACAM1	False	False
OID21529	FOLR1	False	False
OID21530	LYPD3	False	False
OID21531	MIA	False	False
OID20466	DGKZ	True	True
OID20467	PADI2	False	False
OID20468	PRKCQ	True	True
OID20469	IL17A	False	False
OID20470	NFATC3	True	True
OID20471	GALNT3	True	False
OID20472	IL5	True	False
OID20473	TNF	True	False
OID20474	TANK	True	False
OID20475	SPRY2	False	False
OID20476	TPT1	True	True
OID20496	SLAMF1	True	False
OID20497	ENAH	True	False
OID20498	IL15RA	False	False
OID20455	IL11	True	True
OID20456	IL17F	True	False
OID20457	SCGN	True	False
OID20458	CXCL14	True	False
OID20459	MVK	True	False
OID20460	WNT9A	False	False
OID20461	IL3RA	False	False
OID20462	SIT1	False	False
OID20463	FXYD5	True	True
OID20464	CXCL12	True	False
OID20465	NRTN	True	True
OID20477	IL17C	True	False
OID20478	YTHDF3	False	False
OID20479	WAS	True	True
OID20480	TNFRSF13C	False	False
OID20481	IL17D	False	False
OID20482	MILR1	False	False
OID20483	PRDX3	True	True
OID20484	ICA1	True	False
OID20485	IRAK1	False	False
OID20486	IL12RB1	True	False
OID20487	IL1RL2	False	False
OID20488	IL1A	True	True
OID20489	GBP2	True	True
OID20490	FGF5	False	False
OID20491	CSF3	True	False
OID20492	AMN	True	False
OID20493	ITGB6	True	False
